                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7201,                 4.1643,                 4.1392,                0.00228,                0.05033,                0.00409,                0.00128,                 3.8573,                 4.7867,                 4.2492,             0.00032937,             0.00032937,             0.00032937
                      2,                  3.216,                  3.393,                 3.5376,                0.55275,                0.07356,                 0.0342,                 0.0108,                  3.013,                 4.5832,                 3.5028,             0.00065614,             0.00065614,             0.00065614
                      3,                 2.8941,                 3.0593,                 3.0969,                0.49781,                0.13959,                0.11714,                0.04187,                 2.6748,                 3.3263,                 2.8766,             0.00097631,             0.00097631,             0.00097631
                      4,                 2.7028,                  2.796,                 2.8331,                0.24878,                0.23507,                0.14045,                0.04864,                 2.5557,                 2.9552,                 2.7669,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.5188,                 2.5143,                 2.6341,                0.40248,                0.29341,                 0.2638,                0.09928,                 2.3931,                 2.5648,                 2.6093,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.3575,                 2.3144,                 2.4706,                0.50524,                0.37275,                 0.3625,                0.14128,                 2.2572,                 2.3346,                 2.4645,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.1883,                 2.0969,                  2.314,                0.51786,                0.42723,                0.43408,                0.17827,                 2.1496,                 2.2454,                 2.3228,              0.0009505,              0.0009505,              0.0009505
                      8,                  2.107,                 1.9825,                 2.2138,                 0.6212,                0.48884,                0.52306,                0.21826,                 1.9942,                 1.8455,                 2.1544,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.0235,                 1.8889,                 2.1259,                0.64526,                 0.5145,                0.55434,                0.23103,                 1.9598,                 1.7767,                 2.1073,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.9717,                  1.789,                 2.0549,                0.68571,                0.54121,                 0.6222,                0.28746,                 1.8557,                 1.7028,                 2.0169,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.9342,                 1.7147,                 2.0096,                0.68232,                0.53304,                0.59862,                0.26555,                 1.8748,                  1.704,                 2.0215,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.8803,                 1.6757,                 1.9666,                0.70877,                0.55393,                0.62337,                0.27355,                 1.8811,                 1.5837,                 1.9985,               0.000901,               0.000901,               0.000901
                     13,                 1.8575,                 1.6225,                  1.934,                0.76147,                 0.6269,                0.69462,                0.32811,                 1.7594,                 1.4255,                 1.8962,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.831,                 1.5897,                 1.9143,                0.79669,                0.61325,                0.70321,                0.33526,                 1.7571,                 1.4107,                 1.8767,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.8221,                 1.5494,                 1.8753,                0.80162,                0.63345,                0.72247,                0.35823,                 1.7404,                 1.3658,                 1.8626,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7778,                 1.5037,                 1.8587,                0.80057,                0.63769,                0.72134,                0.35597,                  1.712,                 1.3553,                 1.8438,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.7596,                 1.4701,                  1.852,                0.79173,                0.65592,                0.73634,                0.36732,                 1.6787,                 1.3266,                 1.8053,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.7179,                 1.4155,                 1.8094,                0.80274,                0.67314,                0.75192,                0.38901,                 1.6536,                 1.2476,                 1.7865,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.7206,                  1.406,                 1.7903,                0.80919,                0.67647,                 0.7575,                0.39191,                 1.6269,                 1.2271,                 1.7684,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.7006,                 1.3783,                 1.7807,                0.80205,                0.67378,                 0.7533,                0.39651,                 1.6116,                 1.2275,                 1.7585,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.6971,                 1.3612,                 1.7739,                 0.8185,                0.68349,                0.76171,                0.38911,                 1.6421,                 1.1903,                 1.7647,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.6917,                 1.3436,                 1.7533,                0.79228,                0.67336,                0.75697,                0.38968,                 1.6047,                  1.225,                  1.732,               0.000802,               0.000802,               0.000802
                     23,                 1.6695,                 1.3282,                 1.7426,                0.83209,                0.70003,                0.78609,                0.41259,                 1.5784,                 1.1691,                 1.7321,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.6504,                 1.3283,                 1.7365,                0.80662,                0.69633,                0.78134,                0.41427,                 1.5781,                 1.1312,                 1.7113,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.6555,                 1.3011,                 1.7236,                0.85193,                0.71356,                0.79648,                 0.4162,                 1.5895,                 1.1164,                 1.7047,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.6412,                 1.2692,                 1.7062,                0.82874,                0.71299,                0.79518,                0.41718,                 1.5566,                 1.1321,                 1.6685,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.633,                 1.2733,                 1.7072,                0.84737,                0.72293,                0.80477,                0.42895,                 1.5471,                 1.1074,                 1.6771,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.6175,                 1.2405,                 1.6948,                0.85272,                0.72175,                0.80709,                0.43883,                 1.5475,                 1.0711,                 1.6771,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5931,                 1.1994,                 1.6715,                0.82499,                0.73468,                0.80701,                0.43431,                 1.5199,                 1.0461,                 1.6418,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.5972,                 1.2131,                 1.6727,                0.84612,                0.73461,                0.80632,                0.44137,                 1.5246,                 1.0361,                 1.6557,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.5794,                 1.1859,                 1.6514,                0.85707,                0.74076,                0.82136,                0.44588,                 1.5129,                  1.024,                 1.6318,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.5707,                 1.1804,                 1.6665,                0.86005,                0.73777,                0.81834,                0.45323,                 1.4818,                0.99662,                 1.6173,               0.000703,               0.000703,               0.000703
                     33,                 1.5727,                 1.1669,                 1.6287,                0.85137,                0.74954,                0.82447,                0.45525,                 1.4817,                 1.0176,                 1.6093,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.5608,                 1.1559,                  1.637,                0.86833,                0.76137,                0.83806,                 0.4633,                 1.4806,                0.97144,                 1.6011,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.5452,                 1.1333,                 1.6379,                0.86745,                0.75661,                0.83338,                0.46317,                 1.4657,                0.94985,                 1.6037,              0.0006733,              0.0006733,              0.0006733
                     36,                  1.549,                 1.1311,                 1.6138,                0.87281,                0.75847,                0.84182,                0.46244,                 1.4628,                0.96571,                 1.5905,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.5313,                 1.1234,                 1.6187,                0.86056,                0.75209,                0.83112,                0.47135,                 1.4657,                0.96074,                 1.5946,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.5354,                 1.1311,                 1.6246,                0.88704,                0.76341,                0.84395,                0.46722,                  1.469,                0.94343,                 1.5893,              0.0006436,              0.0006436,              0.0006436
                     39,                  1.535,                 1.1098,                 1.6098,                0.88463,                0.75585,                0.84454,                0.47939,                 1.4439,                0.91842,                 1.5719,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.5177,                 1.0998,                 1.6044,                0.88332,                0.77377,                0.85128,                0.47869,                 1.4381,                 0.9081,                 1.5684,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.5127,                 1.0707,                 1.5833,                0.87757,                0.78026,                0.85317,                0.47715,                 1.4262,                0.91957,                 1.5529,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.5086,                 1.0716,                 1.5948,                0.85621,                0.76929,                 0.8369,                0.45891,                 1.4462,                0.99422,                 1.5706,               0.000604,               0.000604,               0.000604
                     43,                 1.5046,                  1.082,                 1.5926,                0.88543,                0.77588,                0.85581,                0.48211,                 1.4314,                0.89615,                 1.5694,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.5096,                 1.0613,                 1.5903,                 0.8943,                 0.7755,                0.86186,                0.49455,                 1.3943,                0.87949,                 1.5372,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.4872,                 1.0393,                 1.5656,                0.89673,                0.78543,                0.86392,                0.49627,                 1.3845,                0.85865,                 1.5367,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.4844,                 1.0249,                 1.5686,                0.89392,                0.78812,                0.86751,                0.49543,                 1.4007,                0.83801,                 1.5395,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.5122,                 1.0593,                  1.589,                0.89992,                0.77973,                0.86084,                0.48811,                 1.4108,                0.87505,                 1.5431,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.4849,                 1.0483,                 1.5788,                0.89896,                0.77301,                0.85971,                0.49473,                  1.387,                0.84702,                 1.5308,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.4802,                 1.0148,                 1.5569,                0.88093,                0.79141,                0.86726,                0.50534,                 1.3732,                0.83537,                 1.5162,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.4722,                 1.0249,                 1.5693,                0.89041,                0.78189,                0.86105,                0.49699,                  1.379,                0.85462,                 1.5192,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.4592,                 1.0068,                 1.5447,                0.89549,                0.79504,                0.86988,                0.51002,                 1.3636,                0.82016,                 1.4994,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.4504,                0.98057,                 1.5389,                0.89959,                  0.795,                0.87192,                0.50804,                  1.356,                0.82107,                 1.5084,               0.000505,               0.000505,               0.000505
                     53,                 1.4515,                 1.0055,                 1.5481,                0.89824,                 0.8012,                0.87384,                0.51409,                 1.3568,                0.81103,                 1.5049,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.4595,                0.99509,                 1.5454,                0.90346,                0.80021,                0.87502,                 0.5098,                 1.3499,                0.81741,                 1.4933,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.4616,                0.98781,                 1.5518,                0.89564,                0.79969,                0.86757,                0.50722,                 1.3589,                0.81445,                 1.4957,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.4483,                0.97472,                 1.5309,                0.89531,                 0.8042,                0.87618,                0.51144,                   1.35,                0.80651,                 1.4932,              0.0004654,              0.0004654,              0.0004654
                     57,                  1.457,                0.97559,                 1.5269,                0.90053,                0.80301,                0.87905,                0.51297,                 1.3554,                0.79759,                 1.4936,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.4245,                0.95441,                 1.5296,                0.89994,                0.80609,                 0.8755,                0.51435,                 1.3303,                 0.7965,                 1.4835,              0.0004456,              0.0004456,              0.0004456
                     59,                  1.419,                0.96205,                 1.5184,                0.88603,                0.80992,                0.87705,                0.52006,                 1.3244,                0.78086,                 1.4722,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.4295,                0.94505,                 1.5005,                0.90461,                0.81078,                0.88482,                 0.5261,                 1.3269,                0.78061,                 1.4723,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.4145,                0.95245,                 1.5199,                0.90222,                0.81361,                0.88025,                0.52413,                 1.3189,                0.78962,                 1.4712,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.4225,                0.95453,                 1.5145,                0.90182,                0.81254,                 0.8818,                0.52555,                 1.3178,                0.76808,                 1.4676,               0.000406,               0.000406,               0.000406
                     63,                 1.4449,                0.95814,                 1.5202,                0.90302,                 0.8094,                0.88192,                0.52563,                 1.3175,                0.75711,                 1.4615,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.4029,                0.92677,                 1.4886,                0.90237,                0.81585,                 0.8845,                0.53094,                 1.3033,                0.75102,                 1.4551,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.4063,                0.93951,                 1.5115,                0.91086,                0.81492,                0.88445,                0.53389,                 1.3058,                 0.7424,                 1.4575,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.4212,                0.94297,                 1.5199,                0.90401,                0.81501,                0.88516,                0.53266,                 1.3112,                0.74632,                 1.4536,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.4118,                0.92534,                 1.4945,                0.91258,                0.82177,                0.89321,                0.54117,                  1.281,                0.72893,                 1.4377,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.4084,                0.92384,                 1.5003,                0.90982,                0.82562,                0.89114,                0.53713,                 1.2877,                0.74087,                 1.4377,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.3901,                0.90507,                 1.4907,                0.90851,                0.82543,                0.89023,                 0.5352,                 1.2756,                0.73919,                 1.4342,              0.0003367,              0.0003367,              0.0003367
                     70,                  1.378,                 0.9016,                 1.4752,                0.91833,                0.81847,                0.89368,                0.53515,                 1.2932,                0.73879,                 1.4413,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.3896,                0.90639,                 1.4942,                0.90702,                0.82286,                0.88952,                0.53235,                  1.285,                0.76409,                 1.4408,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.4089,                 0.9249,                 1.4929,                0.90938,                0.82428,                0.89369,                0.54224,                 1.2738,                0.72796,                 1.4264,               0.000307,               0.000307,               0.000307
                     73,                 1.3714,                0.89122,                 1.4782,                0.91909,                0.82318,                0.89518,                0.54712,                  1.269,                0.71232,                 1.4237,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.3706,                0.88779,                 1.4677,                0.91589,                0.82307,                0.89379,                0.54227,                 1.2823,                0.71783,                 1.4306,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.3757,                0.88912,                 1.4663,                0.91517,                0.82597,                0.89692,                0.54767,                 1.2562,                 0.7167,                 1.4184,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.3745,                 0.8948,                 1.4633,                0.91021,                0.83527,                 0.8979,                0.54613,                 1.2815,                0.71176,                 1.4219,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.3575,                0.88099,                 1.4676,                0.92234,                0.82897,                    0.9,                 0.5519,                  1.244,                0.69628,                 1.4098,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.3647,                0.88637,                 1.4693,                0.91847,                0.83109,                0.90019,                  0.552,                 1.2484,                0.69987,                 1.4113,              0.0002476,              0.0002476,              0.0002476
                     79,                  1.353,                0.88444,                 1.4639,                0.92562,                 0.8284,                0.90022,                0.54696,                 1.2562,                0.70411,                 1.4154,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.3494,                0.86887,                 1.4525,                0.91418,                0.83345,                0.89952,                0.55045,                 1.2383,                 0.7104,                 1.4043,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.3614,                0.87406,                 1.4596,                0.91906,                0.83245,                0.90232,                0.55345,                 1.2376,                0.68415,                 1.4014,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.3456,                 0.8597,                 1.4506,                0.92052,                0.83341,                 0.9004,                0.55955,                 1.2285,                0.67544,                 1.3954,               0.000208,               0.000208,               0.000208
                     83,                 1.3424,                0.86399,                  1.449,                0.92437,                0.83323,                0.90248,                0.55836,                 1.2294,                0.68289,                 1.3913,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.3429,                 0.8667,                 1.4507,                0.91948,                0.83661,                0.90262,                0.55018,                 1.2431,                0.69439,                 1.3981,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.3391,                0.85695,                 1.4414,                 0.9191,                0.83967,                 0.9036,                0.55984,                 1.2305,                0.67799,                 1.3933,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.3188,                0.84453,                 1.4455,                0.92264,                0.83344,                0.90342,                  0.562,                 1.2222,                0.67244,                 1.3834,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.3344,                0.83423,                 1.4465,                0.91797,                0.83614,                  0.903,                0.56132,                  1.224,                0.66814,                 1.3864,              0.0001585,              0.0001585,              0.0001585
                     88,                  1.318,                0.83465,                 1.4332,                0.92044,                0.84159,                0.90487,                0.56106,                 1.2115,                 0.6781,                 1.3792,              0.0001486,              0.0001486,              0.0001486
                     89,                  1.329,                 0.8413,                 1.4444,                0.92335,                0.84505,                0.90648,                0.56369,                 1.2098,                0.66796,                 1.3787,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.3329,                0.85016,                 1.4389,                0.91769,                 0.8454,                 0.9066,                0.56738,                 1.2082,                0.65535,                  1.378,              0.0001288,              0.0001288,              0.0001288
